VE;;;;;;;;;;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; p_t_control_zone_all_steps;  e_t_control_zone_all_steps; avg_k_all_steps; veh_enter_cz_all_steps; avg_total_time_all_steps;;
5054;84.0;13.942.762.863.534.600;29.698.645.994.600.200;9.124.763.846.787.710;9.829.967.191.587.130;5.828.067.264.522.440;29.808.359.519.763.900;23;13.995.119.047.619.000;;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
3840;105.699.051.218.375;8.086.887.437.074.000;1.069.794.332.200.930;5.925.214.124.988.260;105.699.051.218.375;14.056.358.874.536.700;9.959.935.916.004.760;0;22;3;
3900;10.513.487.655.777.000;8.192.022.313.631.770;0.9498812082006561;5.996.153.278.050.800;10.513.487.655.777.000;1.334.975.964.089.120;14.829.385.373.514.600;0;21;2;
3960;10.146.583.956.643.900;8.293.488.153.198.210;0.9755846520178253;6.062.498.070.144.600;10.146.583.956.643.900;12.471.733.454.075.200;0;0;21;0;
4020;10.066.720.318.449.400;8.394.155.356.382.700;10.033.705.952.999.900;6.127.043.931.898.290;10.066.720.318.449.400;11.568.699.918.305.200;0;0;20;0;
4080;9.471.259.783.750.910;8.488.867.954.220.210;11.113.770.460.000.500;6.181.746.956.079.800;9.471.259.783.750.910;10.568.460.576.905.200;0;0;20;0;
4140;9.801.413.209.545.660;8.586.882.086.315.670;1.008.375.367.045.250;6.243.459.574.961.630;9.801.413.209.545.660;966.092.274.656.447;0;0;18;0;
4200;804.668.518.301.045;8.667.348.938.145.770;0.9573020379856905;6.289.463.553.424.250;804.668.518.301.045;8.799.350.912.377.340;0;0.16953862671776515;17;0;
4260;7.573.858.911.023.440;8.743.087.527.256.010;0.9958774081849033;6.329.350.555.839.830;7.573.858.911.023.440;7.903.061.245.010.930;0;0.6003245438113256;13;0;
4320;63.793.809.069.565.100;8.806.881.336.325.570;0.8118299855867629;6.363.918.485.428.270;63.793.809.069.565.100;7.172.414.257.982.840;0;1;11;0;
4380;4.830.212.587.185.760;8.855.183.462.197.430;0.8173949161426111;6.382.794.394.318.990;4.830.212.587.185.760;6.436.758.833.454.490;0;1;8;0;
4440;3.955.532.248.274.970;8.894.738.784.680.180;10.813.528.354.415.300;6.383.421.014.725.850;3.955.532.248.274.970;5.463.541.281.557.110;0;1;8;0;
4500;3.529.679.015.487.740;8.930.035.574.835.060;11.932.750.869.238.600;637.575.990.175.147;3.529.679.015.487.740;43.895.937.033.256.300;0;1;7;0;
4560;3.535.065.573.426.460;8.965.386.230.569.320;1.037.273.492.152.020;6.373.768.711.768.260;3.535.065.573.426.460;34.560.475.603.888.100;0;1;7;0;
4620;32.675.807.075.506.800;8.998.062.037.644.830;0.9574398745511656;6.371.976.683.359.920;32.675.807.075.506.800;25.943.516.732.927.600;0;1;7;0;
4680;3.353.870.875.718.610;903.160.074.640.202;0.8681396787422726;6.374.262.363.682.390;3.353.870.875.718.610;18.130.259.624.247.200;0;1;6;0;
4740;29.223.056.274.255;9.060.823.802.676.270;10.008.954.233.733.900;6.367.453.184.715.200;29.223.056.274.255;9.122.200.813.886.660;0;1;6;0;
4800;22.180.459.950.329.600;9.083.004.262.626.600;11.928.306.550.154.100;6.346.691.741.084.970;22.180.459.950.329.600;0;0;1;4;0;
4860;1.406.530.672.517.550;9.097.069.569.351.780;11.082.092.559.323.200;6.320.861.514.596.590;1.406.530.672.517.550;0;0;1;3;0;
4920;14.692.015.669.146.800;9.111.761.585.020.920;10.158.469.793.799.100;62.989.830.390.080.600;14.692.015.669.146.800;0;0;1;3;0;
4980;8.549.856.022.531.100;9.120.311.441.043.450;11.441.159.115.682.100;6.266.344.722.214.130;8.549.856.022.531.100;0;0;1;1;0;
5040;4.452.405.744.259.520;9.124.763.846.787.710;0.8928704512252058;6.238.653.791.714.280;4.452.405.744.259.520;0;0;1;1;0;
